NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10002244,Lessening COVID protocols/restrictions at the Support Center,72,,,,,,,,,
10002245,Organizational decisions that can create redundancy and confusion if not facilitated with all relevant stakeholders,98,,,,,,,,,
10002248,Increase the speed of decisions around working from home strategy.,13,,,,,,,,,
10002250,REF,99,,,,,,,,,
10002253,REF,99,,,,,,,,,
10002256,We must stop doing things sometimes. We seem to pile on more and more and it can cause us to lose focus,98,,,,,,,,,
10002257,Headcount prioritization and allocation seems to have gotten out-of-control.  It seems like we might be hiring an excessive number of people.,2,4,,,,,,,,
10002259,REF,99,,,,,,,,,
10002264,REF,99,,,,,,,,,
10002265,"Making leadership/organizational changes without thinking about the cascading effects.  Admin support/promotions is not always considered, as well as tactical decisions like ""who now owns decisions?"" and those answers aren't often communicated clearly and well to everyone involved in a timely manner after changes go live.",3,8,12,71,,,,,,
10002267,REF,99,,,,,,,,,
10002271,"In some cases, there are decisions which need to be made quickly and others which could wait. I think we need to really improve on how the decisions will impact all parties involved.",13,,,,,,,,,
10002273,"Decisions that are within certain thresholds and parameters set by leadership and the Enterprise, i.e. financial terms that when put into a standardized model shows a projected return above a certain level.  These should be more streamlined in order to provide a more nimble environment for solutions.",98,,,,,,,,,
10002276,REF,99,,,,,,,,,
10002277,REF,99,,,,,,,,,
10002278,REF,99,,,,,,,,,
10002279,REF,99,,,,,,,,,
10002281,REF,99,,,,,,,,,
10002282,Legal review can take too long (due to understaffing).,2,,,,,,,,,
10002283,REF,99,,,,,,,,,
10002285,REF,99,,,,,,,,,
10002286,REF,99,,,,,,,,,
10002288,REF,99,,,,,,,,,
10002290,REF,99,,,,,,,,,
10002293,Hiring/Talent,2,,,,,,,,,
10002296,"Empowering staff to make decisions based on his/her expertise, rather than relying heavily on those with decades of archaic perspectives",22,,,,,,,,,
10002297,"CFA departmental leadership could be more transparent in growth opportunities with their team. Sometimes, I feel ""in the dark"" and feel like I will be stuck in my professional development. I see other departments do this well and show great transparency, how might departments run in a similar manner?",19,54,52,,,,,,,
10002298,Unclear Resourcing and contractor rules has led my team to expend over a year of urgent work without help. It?s frustrating and we are on the edge of burnout,33,12,,,,,,,,
10002300,Internal consistency of support to Staff and Operators through AST and new restaurant development,53,61,,,,,,,,
10002303,Bi-lingual menus and app,10,,,,,,,,,
10002304,"Navigating restaurant customization requests from Operators....especially those that happen during construction.  In their defense the timing of their selection is often right before or just after construction starts so they don't have an opportunity to weigh in earlier in the process.  If that is the reality of the situation, is there a better way though operator panels, etc. that we make decisions more globally and less individually?  Also, if one person on the team makes a decision on an Operator customization request that the Operator (or even another CFA staff member) is not happy with, they frequently reach out to other folks until they get a yes.",53,,,,,,,,,
10002305,"Relax dress code - not all the way to causal, but maybe smart causal when in the office",11,,,,,,,,,
10002306,"Infrastructure: Continue to grow without the infrastructure to do it well. For example, we are opening many more new restaurants than ever before in 2022 but we have not built out the staff in critical areas that support this work. Staffing decisions need to be made with a wider and more strategic view - we are still placing headcount the way we did 10 years ago. This also applies to",2,53,,,,,,,,
10002308,"Infrastructure. Consistent systems, processes and data sharing are needed. Each day we work without them (and hire new staff without them) is a drain on our productive output.",61,,,,,,,,,
10002309,Development of infrastructure technology to support Staff,6,,,,,,,,,
10002310,Reinvestment decisions in existing restaurants. We are spending dollars on work that is regularly undone because of myopic focus. We do not have a central data base that provides information on work planned at any given restaurant. We lose sales by uncoordinated efforts to improve restaurants that results in mis-spent money and unnecessary restaurant closings.,53,,,,,,,,,
10002312,Funding and budget decisions.  We still operate on a calendar year which is too long for a fast growing company.  Dynamic resourcing was slow and not dynamic.,54,13,,,,,,,,
10002313,REF,99,,,,,,,,,
10002314,Decisions to find and advance the best and most innovative work.    Sometime mediocre  projects are chosen to advance when more important projects are left awaiting decisions or approval.,66,34,,,,,,,,
10002315,Need to feel comfortable giving a single person the ultimate decision making power to help keep us moving. We can still work together on the solution and follow our Better Together mindset while still keeping us moving forward efficiently.,22,,,,,,,,,
10002317,"How decisions are made (insight informed not data driven, or a balance of intuition and data)",59,,,,,,,,,
10002319,"Sometimes missing the forest for the trees. If there is a strong business case for an innovation, but there is an incremental increase in initial cost. It is sometimes difficult to gain acceptance for the innovation. Even if there is a higher Return on Capital Invested.  Sometime we must look beyond individual sub-department budgets and think about stewardship across the business. What is the best longterm decision?  Higher level leadership should weigh in.",66,52,,,,,,,,
10002320,"Innovation - there has been a lot of growth in the area of innovation and 'pursuing what's next', especially over the past 5-7 years. There is still so much room to grow in this area of the business. With dedicated/ focused people resources and dedicated funding to support more work we could innovate in so many other areas and get solutions into the field faster. We need to focus the innovation efforts, grow them, support them and ensure they are creating solutions to the many pressing needs in the field.",4,54,66,13,,,,,,
10002321,REF,99,,,,,,,,,
10002323,Can't think of any,98,,,,,,,,,
10002325,REF,99,,,,,,,,,
10002326,We need to improve how the timing of MRO relates to the expansion of CFA. Who runs a restaurant will be one of the biggest tensions going forward. The further ahead we can prepare an Operator and make that decision earlier in the process will make it better it be for both the Operator and the CFA Inc.,53,,,,,,,,,
10002328,Pricing does not keep up with inflation much less labor increases,98,,,,,,,,,
10002331,REF,99,,,,,,,,,
10002332,REF,99,,,,,,,,,
10002333,REF,99,,,,,,,,,
10002338,REF,99,,,,,,,,,
10002340,REF,99,,,,,,,,,
10002341,REF,99,,,,,,,,,
10002342,"We need to make a bigger push to have more staff visit restaurants. It?s the lifeblood of our business, and many decisions are getting made without physically seeing them in the field.",53,,,,,,,,,
10002343,REF,99,,,,,,,,,
10002344,REF,99,,,,,,,,,
10002345,At a department or sub-team level: Accountability and responsibility of work.,52,,,,,,,,,
10002346,Promotions should be based on merit and not on meeting quotas,3,,,,,,,,,
10002348,"making decisions based off current organization size, not the size of the organization a decade ago",98,,,,,,,,,
10002349,Timeliness of decision taking too long.,32,,,,,,,,,
10002350,"deciding on calculated risks in a timely fashion (e.g. in volatile market, placing additional bulk purchases sooner)",98,,,,,,,,,
10002351,REF,99,,,,,,,,,
10002352,I can't think of another example,98,,,,,,,,,
10002353,Not letting our values slowly start to slip away.,98,,,,,,,,,
10002354,"Decisions of organizational strategy.  I believe there are organizational structures within CFA that hinder decision making, alignment, and provide blindspots to senior leadership about needs within the organization.",5,,,,,,,,,
